    KEYS    |   VALUES   
     27     |     -1     
     -2     |     0      
     5      |     -1     
     -1     |     1      
     27     |     -1     
     -2     |     2      
     5      |     -1     
     -1     |     3      
     20     |     -1     
     -2     |     0      
     10     |     -1     
     -1     |     3      
     20     |     -1     
     -2     |     2      
     5      |     -1     
     -2     |     2      
     0      |     -1     
     -1     |     4      
     -2     |     0      
     5      |     -1     
     -2     |     0      
     3      |     -1     
     -1     |     5      
     21     |     -1     
     27     |     -1     
     -2     |     6      
     5      |     -1     
     -1     |     4      
     27     |     -1     
     -2     |     7      
     5      |     -1     
     -2     |     2      
     20     |     -1     
     -2     |     7      
     10     |     -1     
     -1     |     3      
     20     |     -1     
     -2     |     6      
     5      |     -1     
     -2     |     6      
     2      |     -1     
     -1     |     5      
     21     |     -1     
     27     |     -1     
     -2     |     8      
     5      |     -1     
     -1     |     4      
     20     |     -1     
     -2     |     2      
     10     |     -1     
     -1     |     3      
     20     |     -1     
     22     |     -1     
     16     |     -1     
     -2     |     0      
     3      |     -1     
     -2     |     6      
     17     |     -1     
     4      |     -1     
     -1     |     5      
     9      |     -1     
     -2     |     0      
     4      |     -1     
     -1     |     5      
     22     |     -1     
     -2     |     8      
     5      |     -1     
     -1     |     3      
     31     |     -1     
     26     |     -1     
     -2     |     6      
     5      |     -1     
     -2     |     6      
     3      |     -1     
     -1     |     5      
     -2     |     0      
     5      |     -1     
     -2     |     0      
     3      |     -1     
     -1     |     5      
     -2     |     2      
     5      |     -1     
     -2     |     2      
     1      |     -1     
     -1     |     9      
     21     |     -1     
     22     |     -1     
     -2     |     8      
     8      |     -1     
     -1     |     4      
     22     |     -1     
     29     |     -1     
     16     |     -1     
     -1     |     10     
     0      |     -1     
     -2     |     0      
     0      |     -1     
     -1     |     11     
     17     |     -1     
     25     |     -1     
     29     |     -1     
     16     |     -1     
     -1     |     10     
     0      |     -1     
     -2     |     0      
     0      |     -1     
     -1     |     12     
     17     |     -1     
     26     |     -1     
